"CloudletID","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"129","SUCCESS","9","32768","0","0.0","14000","2","166.30980392156863","202.13736842105277","35.82756449948414"
"130","SUCCESS","0","32768","0","0.0","7600","2","166.30980392156863","193.10881355932213","26.7990096377535"
"131","SUCCESS","1","32768","0","0.0","18200","2","166.30980392156863","348.7701562500034","182.4603523284348"
"132","SUCCESS","2","32768","0","0.0","7000","2","166.30980392156863","211.35736842105308","45.04756449948445"
"133","SUCCESS","3","32768","0","0.0","3800","2","166.30980392156863","186.60165577342067","20.291851851852044"
"134","SUCCESS","4","32768","0","0.0","9000","2","166.30980392156863","192.55881355932206","26.24900963775343"
"135","SUCCESS","5","32768","0","0.0","10200","2","166.30980392156863","210.91736842105303","44.6075644994844"
"136","SUCCESS","6","32768","0","0.0","18600","2","166.30980392156863","4080.0601562514894","3913.7503523299206"
"137","SUCCESS","7","32768","0","0.0","16400","2","166.30980392156863","3429.190156250736","3262.880352329167"
"138","SUCCESS","8","32768","0","0.0","11800","2","166.30980392156863","228.45217391304388","62.14236999147525"
"139","SUCCESS","9","32768","0","0.0","2000","2","166.30980392156863","175.43205882352956","9.122254901960929"
"140","SUCCESS","0","32768","0","0.0","16600","2","166.30980392156863","223.9175000000001","57.60769607843147"
"141","SUCCESS","1","32768","0","0.0","4200","2","166.30980392156863","202.24736842105278","35.937564499484154"
"142","SUCCESS","2","32768","0","0.0","6800","2","166.30980392156863","196.4675824175825","30.15777849601386"
"143","SUCCESS","3","32768","0","0.0","15000","2","166.30980392156863","229.332173913044","63.02236999147536"
"144","SUCCESS","4","32768","0","0.0","16200","2","166.30980392156863","196.13758241758245","29.82777849601382"
"145","SUCCESS","5","32768","0","0.0","15000","2","166.30980392156863","208.40767676767683","42.0978728461082"
"146","SUCCESS","6","32768","0","0.0","14000","2","166.30980392156863","196.13758241758245","29.82777849601382"
"147","SUCCESS","7","32768","0","0.0","5800","2","166.30980392156863","199.41164179104481","33.101837869476185"
